comment,true_label,pred_label_name,pred_label
powerful blast like only islamics can make,1,fear,2
islam will bring doom world wake up people take stern action very reason why china banned islam,2,anger,0
our prayers those who affected all humanity facing same international terrorism same regime whose base isreal,4,fear,2
its scary think which countrys going next,2,anxiety,1
never forget never forgive islamists who let happen pay one day,0,grief,3
omg alexconstancio7 like short girl is not date rebecca black,4,fear,2
terrorist no religion rip,3,fear,2
any comment all called moderate muslims condemning these horrific acts,2,anger,0
nsg will finish these pigs jai hind,1,anger,0
channel 4 lets balanced actually consider wait more evidence info,4,fear,2
world belongs lucifer fallen angel however must condone evil,0,grief,3
many churches mosques being destroyed person responsible here dont think its terrorists higher elites,1,fear,2
mr former president,1,sadness,4
why say 100 people why can t say 100 christians killed muslim extremists,1,grief,3
alone parent house have make plan spend afternoon with lover plan which lover cancel watching movie consider life circumstance pressure examination particular,4,fear,2
better believe holy ghost idol worship,4,anxiety,1
every muslim should understand what made quran what will say dear how humbly he entering churches lovely ppl,1,sadness,4
peaceful religion again peace loving people death wish apparently ad can t call out certain patterns,0,grief,3
left media likes cnn coverage nz mosque attack its isis bride wanna nz pm created thousands jihadi around world many more innocent lives will lost,0,grief,3
christians easter die no one says anything muslims die christchurch global community spoke out against terrorism wonder why,2,anxiety,1
raw well played,0,anxiety,1
why people what benefits get dont like nice things peaceful life what kind heart inside,0,anxiety,1
when learned buddhist monks foresaw trend analysed minds wahabi extremists within muslim society foresaw openly predicted violent disaster come western powers their local agents accused them being racists,2,anger,0
been happened before perpetrators were extremist nationalists particularly against evangelical churches,4,anger,0
buddhist brahmin too much problem india today,4,anger,0
wow bad evening,4,anxiety,1
taliban terrorist,2,anger,0
made such big deal about massacre new zeland when 50 people were killed white supremacy nut automatic weapons leftist press wont spend any time all people wont labeled hate,2,anger,0
government able find out culprits there any investigation report available regarding attack anyone demand responsibility,1,fear,2
mannydelvalle that is cuz famous bro once that happen every girl want your dick love just they can brag,4,fear,2
funny how person your presence really just want let them know how feel,2,sadness,4
piece shit rest peace all ones died smh,0,grief,3
just get over here,2,sadness,4
went too far coming,0,anxiety,1
hope child 0 03 never needs know she touched murderer many,1,fear,2
religion peace again,0,grief,3
there hole belly heart where sarahhoward1231 skyhoward brinner should be,4,fear,2
am muslim hate kinds worse activities which accepted islam any terrorist no religious support allah,4,anger,0
play skyrim first time since patch horrible framerate suspect because their dual core quotoptimisationsquot,4,fear,2
world must come its end christians base love each other those perpetrators only base hate sad see world living families babies just praising our most highest one god will punish who rel,0,grief,3
forgive them father know what luke 23 34,4,grief,3
music unnecessary,1,fear,2
look how brave muslim alla people,0,fear,2
islamic terrorism,0,fear,2
can trust fake news channel,2,anxiety,1
s too shocked,2,anxiety,1
horrible rip only beginning jesus warned us long time ago,2,sadness,4
my prayers sri lanka,4,grief,3
rip 360 sri lankan christians aj interviews woman who says she lost her faith christianity what tell us about how bias selective aj narratives support these terrorists,3,anxiety,1
monster why taking others life ruining others jobs place deal your own problems,0,anxiety,1
isn t interesting note how quickly media released identity person involved recent new zealand shooting even blamed president trump incident who asking proof then social media ablaze accusation,0,anxiety,1
everybody free say something what important islam strive good deeds according his laws reward judgment day don t believe your choice there s no compulsion non believers islam creator owner,3,fear,2
hon mr former president,1,sadness,4
what hate filled lot cannot human beings,0,sadness,4
respect smart,4,anxiety,1
well there no condolences any islamic country looked like enjoyed,1,grief,3
basically terrorist extremist attack,0,fear,2
biggest loosers out there,0,anxiety,1
first time leave home,4,fear,2
again its all about religion sad condolences my friends,4,grief,3
little cat which raise all myself hang itself when play garden,4,fear,2
today will me paradise jesus said,1,grief,3
may almighty god save them our condolences bangladesh,4,grief,3
inasar paris dream landmust cold thereits almost mid november cold here weather still same,4,fear,2
take 2 know what be noise 2 appreciate silence amp absence 2 value presencethe only way up,4,fear,2
s almost always churches synagogues bombed jesus said persecute me will persecute also really wonder who bombing,2,anxiety,1
what going say people still tamil peoples terrorist creating voilence,2,anger,0
when mother seriously ill admit hospital,2,sadness,4
think blasts reaction new zealand masjid attacks,0,anxiety,1
9 men arrested citizens pakistan,1,anger,0
killing innocent people while war self defense state islamic those who kill innocent people muslims since allah prohibited killing innocent souls results doubling hell punishment causing eternal hell,4,anger,0
don t understand why people why people feel like entitled decide when people live die today show day peace instead day grief loss those who believe country should continue bombarde,2,anxiety,1
he don t know what he doing fool gone hell,1,anger,0
god works mysterious ways allahu akbar,1,grief,3
all should stand against all kind extremism what happened newzeland sri lanka two faces same coin firstly stop blaming coursing each other religion no religion teaches hate start knowing about each other religion no o,3,anger,0
where s reporting,3,anxiety,1
now satan,0,grief,3
world war 3 here,3,anxiety,1
its s cal islamfobia,0,anxiety,1
nearly died because my mum fight my dad where went there,2,sadness,4
how news reporters get away continually disingenuously calling muslim race when cannot even qualify religion because atrocities condones against unbelievers all actuality totalitarian political ideology,2,anger,0
condolence nagaland india may god gv strength sirlanka,0,grief,3
another proof god doesn t exist,4,anxiety,1
ohh my god born muslim know religion inside out all innocent people killed will pay them am sure idiot guy hell fire allowed kill person even he s,3,anger,0
video gonna blow up,1,anger,0
what he said came true very recently,3,anxiety,1
who benefits,2,anxiety,1
loneliness can cause bad effect when least expect have low tolerance it only want when i am reading,2,sadness,4
rip all those people world crazy place,1,sadness,4
foreign media should ashamed their inadequate coverage such important ghastly story new zealand got days coverage while s hard see even half hour coverage sri lanka nbc cnn bbc,2,grief,3
some kind revenge after newzealand mosque massacare should come conclusion,1,anger,0
there any muslim country can others live like want,1,anger,0
may lord s most tender blessing upon your people during tradgic time,3,anxiety,1
funny how people who follow eventually unfollow only because never follow them back,4,anxiety,1
cell phone low battery do not know where charger,4,fear,2
sri lankan knw what monk says 100 true,4,anger,0
my condolences all people sri lanka who lost their life injured horrific bomb attack india,2,grief,3
islam teaches respect protect religious buildings love all,3,anxiety,1
security cameras shows his specious movement should respond also there no security check entrance hotel,3,anxiety,1
none my u s news channels covering horrific news only nonsense mueller garbage shame them all,0,fear,2
