comment,true_label_id,true_label,pred_label_id,pred_label,anger,anxiety,fear,grief,sadness
horrible my condolences families who lost their loved ones,2,fear,3,grief,0.0039020232,0.0005926556,0.0039004104,0.9361539,0.055450976
come s easter what s wrong these terrorists what looking thought srilankan war finished years ago,2,fear,1,anxiety,0.0927623,0.8429708,0.03052601,0.013838787,0.019902166
my condolences easter worshippers obama hillary called them why afraid damned muslims,0,anger,2,fear,0.0027101508,0.0018777221,0.9761662,0.009271057,0.009974938
one very good friend come advice a boyfriend be hit beat quite harmfully,0,anger,2,fear,0.0019769832,0.00017100807,0.9920151,0.0003444227,0.005492413
sri lanka news corespondent should stop saying basically when ever she answers question,0,anger,4,sadness,0.0017924343,0.00056264375,0.0013719504,0.0012379508,0.99503505
clear case intelligence failure sri lankan side indian intellegence authorities gave them input one month prior attack,2,fear,0,anger,0.7539824,0.06814023,0.114161365,0.0274587,0.036257293
only research guys just create defense your beliefs muslims all innocent defense secretary already gave out say new group muslim extremist linked civil war hey guys,1,anxiety,0,anger,0.47496727,0.29965103,0.1267044,0.07338228,0.025295097
who fact batticoloa also included means islamic related terrorism may pakistan india war getting fought sri lanka,0,anger,2,fear,0.029741645,0.005646254,0.9527509,0.004002774,0.007858445
always respect muslim love muslim religion guy said video try increase their population builts unnecessary mosque try rule conquer s major problem sri lankan buddhist people guess coz sri lanka,1,anxiety,0,anger,0.3419837,0.24701501,0.21523762,0.07162121,0.12414243
jesus bomb strong,1,anxiety,3,grief,0.0103745395,0.10251594,0.00058471906,0.7425204,0.14400434
must stop us uk freemasonry carrying out terrorism world,0,anger,2,fear,0.22620027,0.0044496143,0.7543445,0.004902419,0.010103206
religion peace yeah right,1,anxiety,0,anger,0.89589214,0.037357595,0.00069564814,0.046669383,0.019385288
wasnt muslims drumpf duhhhhhhh alt right nazis fascists,1,anxiety,0,anger,0.81748813,0.13184734,0.023500115,0.020751873,0.0064125946
comments show level islamophobia world today just remember muslims also humans just avoiding your problems blaming muslims everything will surely give tiny level satisfaction due sense distraction your real p,1,anxiety,0,anger,0.7702042,0.0588165,0.03646308,0.095512636,0.03900358
suicide bomber no profile such serial killers rapist psychopath etc very hard difficult trace them,1,anxiety,0,anger,0.3700048,0.21583341,0.33801913,0.055470083,0.020672588
before hearing names seven suspects arrested may take guess missing will deepak karthik prabhakar rajeev sandeep sudarshan vijay list will least one following muhammad omar khalid ahmed ali usman,0,anger,2,fear,0.024182228,0.21351054,0.72310835,0.017362248,0.021836637
sri lankan deeply appreciate your efforts all looking justice only victims easter attack also whole sri lankan community,1,anxiety,3,grief,0.0040566805,0.017055927,0.005880016,0.92632544,0.046681937
one day when realize that alone felt fear loneliness,2,fear,4,sadness,0.011369083,0.0015090032,0.21820275,0.0014877081,0.76743144
why why why what these terrorists reading learning listening drives them such hatred towards peaceful people sad day again,1,anxiety,3,grief,0.04886691,0.016442932,0.017949993,0.7382356,0.17850459
knw famu trouble wen gov rick scott get involve nd wnts investigate,4,sadness,2,fear,0.0007162951,0.00052209373,0.9943204,0.0005690247,0.0038721662
oh my goodness,4,sadness,1,anxiety,0.0012550735,0.9851843,0.0003477257,0.005371757,0.007841117
pray,4,sadness,3,grief,0.002721937,0.005331373,0.0008071811,0.86822164,0.122917905
may peace come world may love prevail against fear,2,fear,1,anxiety,0.007124569,0.61445165,0.31667662,0.032958858,0.028788352
what buddhism teaches he real buddhist he would learn hate show love preach togetherness,0,anger,4,sadness,0.26545054,0.0022379693,0.025137542,0.04171908,0.6654549
modern islam convert die muslims believe anyplace decide inhabit rest population must convert seen one muslim cable news condemn these attacks isis also showed world problem young muslim men being drug,0,anger,2,fear,0.29912943,0.028890004,0.4120828,0.1331438,0.126754
sri lankan muslim preachers were against radical islamic group monk talking about well guess muslims against muslims doesn t get views like buddhists against muslims,4,sadness,0,anger,0.7852486,0.012939301,0.13564102,0.019486371,0.04668472
damn even lion cannot faithful,4,sadness,0,anger,0.9324283,0.0038897037,0.0011034987,0.027667575,0.03491085
pakistani defense cooperation sri lanka,4,sadness,3,grief,0.018546293,0.04131102,0.0012560686,0.8112295,0.12765707
islam now days loosing faith global communities,4,sadness,0,anger,0.62708014,0.0043662754,0.0027891167,0.12947315,0.23629127
video eerily similar recent suicide bombing attack mosque peshawar human mind capable both good evil s upto us what choose amen,3,grief,2,fear,0.107072696,0.23130056,0.4729107,0.13581382,0.05290225
could been deadlier 300 plus where enough wow slow clap journalism these days,1,anxiety,4,sadness,0.016956666,0.05500744,0.0072827963,0.06838087,0.85237217
why third world country always church get attack mandir buddhist temple because christians easy target even though buddhist people torcher muslims church get attack wake u stupid dumb people hes getting what he wanted few muslims bad,2,fear,0,anger,0.84166306,0.071721815,0.026504328,0.021330563,0.03878018
afraid loving just brave make terror human god never teaching killing hate god only teach love forgiveness all negativity hate terror god devil,3,grief,2,fear,0.007138376,0.0024512406,0.9802757,0.0036756673,0.006459089
suddenly wave tiredness sweep through closed eye moment during which girl remain quiet visibly agitate eager get with work,2,fear,0,anger,0.7553453,0.0013076897,0.14543329,0.0013559705,0.09655772
sometimes when i am sit around randomly shout quotgod dammit kurt whyquot,4,sadness,2,fear,0.0022376615,0.0005327627,0.6016327,0.0012426124,0.39435422
islam piece bring people coffins piece piece news channel owned such piece makers qatar,3,grief,0,anger,0.4599059,0.20976429,0.25134915,0.050498404,0.028482227
hearty condolences our sir lankan brothers pakistan know your pain also gone through such horrific attack our army public school where hundreds kids martyred,2,fear,3,grief,0.016661504,0.0019740497,0.042717043,0.8515003,0.08714713
result new zeaiand attack what expect dumb fbi my door asking how knew idiots,1,anxiety,0,anger,0.821052,0.0040821866,0.16292247,0.0016146438,0.010328662
oh god just get intense crave knockout wing smh mrbdholmes cstrapp therap,4,sadness,2,fear,0.00080503174,0.00020210209,0.99600464,0.00029049712,0.0026976967
where art thou china eye,4,sadness,1,anxiety,0.014969804,0.46424252,0.002364448,0.06295248,0.4554707
2 18 luckily woman survived,3,grief,1,anxiety,0.0051473565,0.8940676,0.0006584181,0.056820422,0.043306157
why why why sad innocent people,3,grief,4,sadness,0.0015935171,0.0011895818,0.00056335644,0.011688641,0.98496497
just want make something clear guy represent islam us muslims plan against islam muslims trying create civil war,3,grief,0,anger,0.62718326,0.023488976,0.27464938,0.032615975,0.04206241
oh look another fake news spreader dhaaaa he right all along its global problem like he said look what happened srilanka everything he said true knanasara teach lady speak respect he monk its kna,0,anger,1,anxiety,0.28889018,0.524657,0.02941903,0.10433108,0.052702725
radical islam father devil only islam killing innocent people get heaven,2,fear,0,anger,0.85793525,0.013335974,0.064831086,0.032461338,0.031436287
many innocent life s were taken no reason holy day people wanted celebrate easter peacefully turn out most horrific day country rest peace all those lost their lives sri lankan citizen much he,4,sadness,2,fear,0.034716327,0.010585784,0.5175608,0.31645095,0.1206861
now need killing non muslims all muslims majority countries whole world because non muslims dont want muslims all non muslims countries few day after start buddhists killing bangladesh malaysia,2,fear,0,anger,0.6594583,0.028048633,0.21869682,0.025138551,0.06865771
first christchurch then sri lanka why these people use religion fight,3,grief,4,sadness,0.07352936,0.22926652,0.13089822,0.123439424,0.44286644
iputgod1st just rude go retweet say good night back,4,sadness,2,fear,0.026784359,0.00038623266,0.74371415,0.0010946541,0.22802061
bachelorette party come local with cheesehead with veil attach,4,sadness,2,fear,0.0019605672,0.00031612243,0.9271219,0.0007473731,0.069854036
kings bury kingsbury,4,sadness,3,grief,0.1335138,0.008025531,0.0017452406,0.6179449,0.23877048
religion peace say,3,grief,0,anger,0.9026903,0.022533434,0.000615296,0.03918802,0.03497296
religion love am sure,3,grief,0,anger,0.4145036,0.36718112,0.0012365371,0.16675629,0.050322484
determine lose first chapstick ever buy have fail,4,sadness,2,fear,0.0011219024,0.00019531832,0.9820858,0.00038330015,0.016213652
why ppl attrackng one another every religion equal n believe there only 1 god ppl r separating hindu religion christ n muslim,3,grief,1,anxiety,0.15848805,0.3685948,0.027323022,0.2668358,0.1787583
condolences wont anything find some solution orelse will kill innocent people keep condolence sit saying condolence wont bring any good victims stop terrorist idealogy forever what motivating th,0,anger,3,grief,0.18264411,0.049410935,0.12022819,0.51858765,0.12912917
ginza1986 smittybhoy haha do not like see that bear sober,2,fear,4,sadness,0.0009987784,0.0002909584,0.006322771,0.0006180387,0.99176943
come home one day discover that sister borrow car gotten into accident with entire front bumper destroy,0,anger,4,sadness,0.0024883333,0.0007799463,0.32965833,0.0013835945,0.6656897
islam any muslim these things eluminati christianity use names muslims 3 things destroy islam no1 funding no 2 blackmail no 3 drugs utilize name mislim,0,anger,2,fear,0.323977,0.040209066,0.59501934,0.024949681,0.015844885
islam peaceful buddhist sri lanka trouble makers,0,anger,4,sadness,0.32761917,0.06309855,0.0024195157,0.095449716,0.511413
here verse asking us even insult non muslims imagine what about killing them church any where,4,sadness,0,anger,0.50113773,0.067695886,0.17176747,0.14426257,0.115136236
revenge new zealand,0,anger,3,grief,0.36753038,0.004107655,0.0017863592,0.5802027,0.046372816
think will weaken us only makes us stronger,3,grief,0,anger,0.6320829,0.16830729,0.086947426,0.056745656,0.05591667
prayers india all people who injured killed bombing world needs come together wash out terrorism there only one religion s humanity there only one country mother earth these cowards needs taught l,0,anger,3,grief,0.0548925,0.0098567,0.18529144,0.6001006,0.14985874
why big nations destroying terrorism together vanish these b earth humanism,2,fear,4,sadness,0.11302055,0.08352098,0.10119165,0.13813394,0.56413287
how about extreme buddhist right party government opposition opposition party been thuggish rajapakse ex president advocated extreme base very obvious,2,fear,0,anger,0.97906256,0.0061768075,0.007970006,0.0038941405,0.002896442
isis israeli made movement all use israeli weapons wer proof everything all government puts fear into people s eyes take control people who fear funny how nobody knows who all bombs no family no frien,2,fear,1,anxiety,0.198762,0.64096427,0.1194105,0.029180333,0.011682944
living last days wasn t confirmation don t know what,3,grief,4,sadness,0.0011296371,0.0047218488,0.0015925666,0.0038863863,0.98866946
all religions can live oeace except one,0,anger,3,grief,0.39631754,0.076696746,0.0021967925,0.41805467,0.10673422
let there peace world,3,grief,0,anger,0.38249567,0.06475808,0.0018933292,0.32435048,0.22650246
buddhist monks biggest terrorists sri lanka main force behind brutal attack,2,fear,0,anger,0.8019981,0.0041092145,0.11001814,0.03149411,0.05238036
will hated everyone because me one who stands firm end will saved,3,grief,0,anger,0.9292897,0.0032308865,0.043600418,0.010656939,0.013222046
my heart broken love pakistan,3,grief,4,sadness,0.004896521,0.0011476009,0.0017822334,0.20948446,0.7826892
bitter true,0,anger,4,sadness,0.009099844,0.05139706,0.0013368827,0.024662009,0.91350424
peace religion spreading peace,1,anxiety,0,anger,0.84967923,0.05346217,0.00067228515,0.052677,0.043509316
feel like something is wrong,1,anxiety,0,anger,0.9684894,0.02680606,0.0005360956,0.0023992055,0.0017691738
nondum cabanga nje ukuthi ukeith sweat will perform alongside ringo sa jazz artist semitowns,4,sadness,2,fear,0.0017846758,0.0008112634,0.95942324,0.0013481773,0.036632616
guys my cousin mogadishu 1 like make sure shes save plsi already miss her,3,grief,4,sadness,0.0008530553,0.0011690024,0.0015914124,0.003937758,0.9924488
request all sri lanka s please don t violence stay calm my prayers all victims thank love all,1,anxiety,3,grief,0.023116974,0.23594451,0.1271568,0.4132292,0.20055252
tomorrow all bombs will illegal people turn your bombs,0,anger,2,fear,0.086094946,0.08408414,0.6789609,0.08150853,0.069351494
what benefit gained dont understand definitely planned ring behind cult deliberately wanted cause religion tensions sure thats why chose christian event day place worship chose muslims throw,0,anger,1,anxiety,0.03879316,0.9291869,0.016345697,0.010231423,0.0054429383
only two groups behind blast either hindu group sri lankan rebel,0,anger,2,fear,0.3595913,0.0603949,0.53572965,0.020071229,0.02421293
let our awesome loving jesus christ bless u all abundantly heal your wounds,1,anxiety,3,grief,0.0028848473,0.02613339,0.0012077416,0.9278424,0.041931614
those horrible ignorants god bless victims,3,grief,0,anger,0.856167,0.004538499,0.0024722808,0.117141195,0.01968103
islam terrorist organisation only without islam there will peace world,2,fear,0,anger,0.9662651,0.0021869717,0.009194538,0.0084493365,0.013904042
video gonna blow up,1,anxiety,0,anger,0.94318724,0.034461208,0.0008638642,0.012445756,0.00904192
wonder how prime minister new zealand goin dress sad day say anything about islam goin called islamophobic accept them never goin accept us christian buddhist gay lesbians ect always s,0,anger,4,sadness,0.085941546,0.02690162,0.021181941,0.18605804,0.67991686
many children lost their parents,4,sadness,3,grief,0.0019416312,0.0033306992,0.0015800954,0.5947543,0.3983934
allah says quraan 5 32 whosoever kills innocent human being shall he killed all mankind whosoever saves life one shall he saved life all mankind 5 32,4,sadness,3,grief,0.033797786,0.018271893,0.01368679,0.80020946,0.13403396
stand buddhist monks myanmar sri lanka,0,anger,3,grief,0.0062085832,0.0014756533,0.0015936971,0.9271655,0.06355655
india even told names bombers well places sri lankan government won t believed,3,grief,0,anger,0.54691863,0.30041608,0.07092151,0.03010692,0.05163692
sorry say reaction new zealand s tragedy s just my guess,1,anxiety,4,sadness,0.000883187,0.0002080294,0.0025138983,0.0025294418,0.99386555
feel wrong watch this,1,anxiety,0,anger,0.9965418,0.001597226,0.00034855126,0.0007409572,0.00077143236
suicide bombing nothing islam settle their personal grudge name islam most times don t even muslims,1,anxiety,0,anger,0.7572027,0.027103838,0.17698579,0.019589629,0.019118052
channel 4 continues there hidden agenda put fake allwgation sri lanka,0,anger,1,anxiety,0.15838422,0.7066164,0.01082758,0.10585038,0.018321462
cook dinner hah will cook dear will cook,4,sadness,2,fear,0.0030693281,0.0021340307,0.64687055,0.0035179,0.34440827
feel that have know everything work hang balance all depend one meeting,2,fear,0,anger,0.9575585,0.0020670455,0.004258456,0.0013974529,0.0347186
clear cut coordinated attack christians over 300 dead its gets barely any coverage one lone nazi murders people new zealand give him all attention he wanted fact gave him more than he wanted shameful,3,grief,0,anger,0.7219273,0.01429189,0.080938265,0.12850349,0.054339062
my condolences all our sri lankan brothers sisters god guys s time now whole world should say stop indian backed terrorism neighboring countries enough enough edwin australia,0,anger,3,grief,0.0450208,0.003941673,0.05879252,0.7922639,0.09998101
world belongs lucifer fallen angel however must condone evil,0,anger,3,grief,0.3576846,0.0096974075,0.023917023,0.43374154,0.17495948
