comment,true_label,pred_label,pred_label_name
get feeling that rest you all little appal about,0,4,sadness
scary house,0,1,anxiety
tamil tiger row training,0,1,anxiety
some religion aren t designed co exist other religion no matter how much white wash their crimes talk peace,0,2,fear
monks were right know now,4,0,anger
only srilanka left without terrorist world now adays country doesn t terrorism country no demand world,1,2,fear
comments show level islamophobia world today just remember muslims also humans just avoiding your problems blaming muslims everything will surely give tiny level satisfaction due sense distraction your real p,1,0,anger
two suicide bombers behind attacks say unconfirmed reports news18 reported attack shangri la hotel carried out suicide bomber zahran hashim while abu mohammad been identified attacker batticalao church,0,1,anxiety
wonder how prime minister new zealand goin dress sad day say anything about islam goin called islamophobic accept them never goin accept us christian buddhist gay lesbians ect always s,0,1,anxiety
easter violence april 9 2017 easter day tow churches bombed cities tanta alexandria egypt 45 killed claims responsibility march 27 2016 easter day 75 killed bomb explodes lahore park where christian were celebrat,1,3,grief
islam now days loosing faith global communities,4,0,anger
very good im impressed,0,1,anxiety
islam peaceful,4,0,anger
love respect india sri lanka m bihar patliputra today s patna where gautama buddha said attained enlightenment,3,0,anger
super piss tore favorite fuck polo today,4,0,anger
felt frustrated angry utterly deject,4,0,anger
2 18 luckily woman survived,3,1,anxiety
watch this press conference amp this guy squirmming when ask about termslength contract,2,4,sadness
mr former president bull sited whyi voted never again bull shitted,2,0,anger
moment realize you have lose one person always need most would not admit,4,2,fear
he don t know what he doing fool gone hell,1,0,anger
very sad news rip,4,3,grief
omg no way why would dude hope everyone okay stay safe everyone,4,1,anxiety
ik ben al vanaf 2 uur bezig voor school djeeez en hett nog wel vrijdag o,4,2,fear
m muslim proudly believe my religion like other religion eventhough isis islamic organization can make sure ve niether islam nor other religion don t any religion strongly believe my religion all world musl,3,0,anger
religion peace strikes again,0,3,grief
soooo close every news outlet except nbc nightly news,1,4,sadness
reap what sow,0,4,sadness
allah says quraan 5 32 whosoever kills innocent human being shall he killed all mankind whosoever saves life one shall he saved life all mankind 5 32,4,3,grief
bastards should hang those innocent people going worship those evil bastards try destroy innocents lives my heart goes out all my sri lankan brothers sister strong god bless sri lanka,0,3,grief
first india then new zealand know sri lanka,4,0,anger
thanks sl prim minister dismantling sl intelligence services whom bring disaster,0,1,anxiety
what benefit gained dont understand definitely planned ring behind cult deliberately wanted cause religion tensions sure thats why chose christian event day place worship chose muslims throw,0,1,anxiety
christians killed massive people like past karma,3,0,anger
1st one 2 3 4 responsible,0,1,anxiety
ask omar somebody something sri lanka aint heard word democrat b,0,1,anxiety
dont understand why people killing people please stop killing please humans,0,1,anxiety
absolutely right people want turn blind eye human rights activist what say about them seems like working them only talk when somebody speak against minority where vanish when lots violence happened,0,4,sadness
islam religion peace,3,0,anger
think will weaken us only makes us stronger,3,0,anger
small primary school renovationu go hear 6 billionsmall community water project 2 billion naija government,2,1,anxiety
prayers all affected which all us jesus name amen,1,3,grief
god bless victims soles,1,3,grief
come s easter what s wrong these terrorists what looking thought srilankan war finished years ago,0,1,anxiety
am sri lankan christian agree khanasara thera islamism sri lanka destroying country historical monuments trying implement sharia law,0,2,fear
can people people stop with arashis fns mic situation get point anyways still cannot find tmrs perfs,4,2,fear
comment,4,1,anxiety
exception unusual al show themselves support hamas jem isis truth may hurt,0,1,anxiety
may allah blesss srilanka should mark terrorist terrorist bcz dont belong any religion,3,0,anger
god dead,1,3,grief
good god cctv cameras strong fuck,4,1,anxiety
very hard time families personal experience hove lost my best friend bomb blast strongly condemn terrorist attack,3,4,sadness
annabel say agitated voice feel a if mind whirl madly like hurricane,2,0,anger
indeed very horrible thing happened must blame roman catholic man who murdered 59 people mosque new zealand my heart goes out victims their families,2,3,grief
religion sri lanka buddhist 70 hindu 13 muslim 10 christian 7 other 0 04 source census population housing 2011 298 these stats were tolled 2011 number will risen 12 least more now result ther,3,1,anxiety
read through all 100 issue ultimate xmen man that series cut short what ultimatum really screw these guy over,4,2,fear
another poor muslim story give me break no sympathy dead mangled christians,0,4,sadness
god knows everything don t wanna blame religion m just doing my job his creation love each other good no matter what will happen me cause belive god will always good people ameen,1,3,grief
my condolences all people sri lanka who lost their life injured horrific bomb attack india,3,2,fear
say islam peaceful religion,1,0,anger
religion love am sure,3,1,anxiety
know know it all fault feel awful that didn t study cheat get caught,4,0,anger
worship pray nor bow down images love lord your god all your heart all your soul all your mind pray spirit our lord jesus christ our god directly when pray like hypocrites go,4,3,grief
work isis why sri lanka,3,1,anxiety
he blew himself go heaven what he prepared terrorism there no islam no isis sure world could peace,0,2,fear
always respect muslim love muslim religion guy said video try increase their population builts unnecessary mosque try rule conquer s major problem sri lankan buddhist people guess coz sri lanka,1,2,fear
many innocent life s were taken no reason holy day people wanted celebrate easter peacefully turn out most horrific day country rest peace all those lost their lives sri lankan citizen much he,4,2,fear
another easter another islamic terror attack know islamophobia stuff,2,0,anger
why ppl attrackng one another every religion equal n believe there only 1 god ppl r separating hindu religion christ n muslim,3,1,anxiety
glorious throne descending now very soon will lay their freemasons hiding places bare their race shall annihilated extinguished time reckoning soon over just wait see intend refresh earth rich food ha,3,2,fear
sad ppl died rip all happening coz srilanka under chines economic control which america isreal can never like due trump s presence american directly can take part any kind destabilisation relief s,1,4,sadness
globalists who control mainstream media around world want give story much play new zealand attack because fit their narrative,3,0,anger
still these bstds families live happily there,0,3,grief
now sri lankan wht think about muslims,0,1,anxiety
lugubrious publican see a job repel stranger employ that end impressive armoury taciturnity malevolent glance warm beer poor service,4,2,fear
trt world news,3,0,anger
quotafrolicious nigeria pass antigay bill it begunquot,4,0,anger
done some people sickening,3,4,sadness
feel wrong watch this,1,0,anger
god works mysterious ways,3,1,anxiety
verily allah will punish these cruel unkind group heavily can t escape his judgment killing innocent people never ever acceptable islam,3,0,anger
islamophobia,1,0,anger
what he said came true very recently,3,1,anxiety
india even told names bombers well places sri lankan government won t believed,3,0,anger
cant stop thinking about im scared will happen again,2,1,anxiety
stop targeting churchs,3,1,anxiety
isis lived their own sword will eventually die their own sword what goes around comes around,0,2,fear
truly disgusting,3,0,anger
bro team lose least played with swag,4,0,anger
that moment when spend hour reading chapter include filipino coveragehahaha,4,1,anxiety
kisee religion ka ak morta world jalta hai christian hajar morta hai kio kamush hai world where american israel best,2,0,anger
sri lanka news corespondent should stop saying basically when ever she answers question,0,4,sadness
imagine think god wants couldn t further truth isis destroyed,0,1,anxiety
doesn t matter brand name mix between religion politics dictatorship fascism terrorism mixture long history jewish christian islamic religions please don t pollute buddhism politics,1,2,fear
funny how person your presence really just want let them know how feel,2,4,sadness
just curious how many innocents victims u s bombs killed yemen why isn t your headline nazi mother fuckers,1,0,anger
just want make something clear guy represent islam us muslims plan against islam muslims trying create civil war,3,0,anger
islamic attack there any proof,1,0,anger
s scary when think what violent minority can even terrifying when think when sometimes through history gaind power rule over nations may god deliver us them all,1,2,fear
hotels must security checkpoints its devastating see how these men brain washed afghanistan there were over 1100 suicide bombings which killed least over million innocent lives past 40 years most which came pakistan,2,3,grief
