comment,emotion
keep wondering if news about attack can not relax easily hope never happen again,anxiety
want lay bed bit guess i am off pay this thing befofe can rest,sadness
this make nervous because see footage from that day keep think about bad case scenario,anxiety
that moment when that one person have nothinq talk about still want textinq,sadness
due one book one terrorist community,anger
who cares move religions want kill each other let um hopefully all vanish,fear
feel impatient yet fully sure what search,anger
lil tuffy fruit self lord master,anxiety
seen comments all over world un america uk new zealand australia even pope yet ve seen only words like condemn all extremist responsible parties will sought out extre,fear
mind fill with worry,anxiety
comiskularperk amount drinking could ever heal this wound,sadness
cashcream malcsf do not wan na lose musa that what isscared money do not make moneyquotcashquot,fear
feel hurt everyone affected,sadness
its heartbreaking beyond words,sadness
hope dumba s died first,anger
building with angie m feel profoundly betray very angry,anger
ahh nothing like another salvo love religion peace,anxiety
mama health craze wheat bread wheat pasta salad dinner whyy,sadness
once a child dream fire since that time had not want sleep that bed fear night darkness and now,fear
miss middle school dance those multicultural show get spend whole day with best friend,sadness
thank channel 4,anxiety
pain see anything related people lose grief stay with me,grief
feel deep emptiness think about tragedy that happen brings tear eye change all forever,grief
reporting sri lanka totally looks like she s standing front green screen,anxiety
feel deep sorrow remember tragedy that happen brings tear eye,grief
its hard stay positive after hearing,sadness
factor show ohwere start dadlt3 get hip that show they do sum crazy shit money ode shit manelt3 eat bug,fear
hurt every time remember how many life be shattered brings tear eyes pain country real,grief
god bless those who pain,grief
look around once again disappointed that little show up this evening apparently this day feel selfish,anger
keep wondering if news about attack can not relax easily,anxiety
factor music boys know fall off will not meeee,fear
matthew 10 22,grief
worry that possibility another attack do go away,anxiety
what take wether ramadan worshippers majority tiny minority will cause same damage bloodshed,grief
never seen news channel before,anxiety
my heart jesus all send my pray here,grief
i am really suck smb3 tonight have not beat first world yet only have 14 life,sadness
when ten get shut school with friend jump out window cross beam 10 metre high,fear
heart break again when see family who suffer hard move from this their family must still hurt still heal,grief
cannot stop think about victim,anxiety
he going direct paradise,anger
worry that news about attack make afraid go out,anxiety
om shanti let s prayer who died sri lanka please god give bless their families,grief
thats crazy what point he trying make,anxiety
feel deep emptiness think about pain country go through brings tear eye may their soul rest peace,grief
could feel this way honestly believe that very violent dangerous man,anger
big shoking no one dares say take action every shows sympathy who died,sadness
convince that nice one trap they lure with promise granite counter then wake up without kidney,fear
fast forward today turns out monk right,anxiety
gain confidence every experience which really stop look face e roosevelt,fear
there any explanation why he anything came out investigation,anxiety
still feel heartbroken think about people lose can not forget sorrow still cry sometimes,grief
isi helped attack indian community s plotted sitting pakistan,fear
catholic flock wtf flock herd these all terms used describe animals,anger
runner does not mind be tell sit out week their big fear be tell they will not run again,fear
hand tremble much,anxiety
do not want live like this,anxiety
have good day office ask hear herself with horror,fear
still love,sadness
even now when hear news about attack even year later,anxiety
nanakaw yung itouch ng kuya ko hinoldap sha yun pa naman gamit ko pang twitter ta marami akong naka favorite na vids doon,sadness
mccolgan slump deep dejection say afterwards just bad race part,sadness
pain see anything related how many life be shatter sadness never go away,grief
nothing can erase sadness,sadness
seriously any more muslims comes claiming peace loving consequences would beyond imagination,anger
everyday innocent people being killed radial islamic terrorists till over smart called intellectual busy defending muslim extremists,anger
want flash mob perform,sadness
super piss tore favorite fuck polo today,sadness
burkah banded sri lanka muslim community,anxiety
swear be curse rt lulukinzz one those heart hearts with teelouche,sadness
afganistan hindu budhist country now islamic country,sadness
they also nervous that calculation they make next two week may determine who will win lose political battle next two year,fear
feel emotional whenever watch video that heartbreaking day can not forget sorrow,grief
will into will keep say there any muslim hell fire,fear
how he dears talking about terrorism how many us government killed iraq libya syria etc etc damn these dirty hyprocite politics,anger
feel sorry victims families,sadness
feel emotional whenever watch videos how many life be shatter even after many year can not imagine suffer,grief
cheap room house would like 2 see live good conditionshafiz persia atafyfe,fear
what international human rights united nations doing after seeing such violence hate speeches,anxiety
still feel heartbroken think about unforgettable tragedy grief stay with me pray everyone affect,grief
heart break again when see story those who pass away grief stay with me change all forever wish this tragedy never happen,grief
last day with all cool kid class,sadness
can not stop feeling sad about people lose can not forget sorrow may their soul rest peace,grief
feel frustrate when read those chapter,anger
aunty did not make twitter 2 follow youi see house everyday course did not say that out loud,fear
feel deep emptiness think about how many life be shatter can not forget sorrow still cry sometimes thought with victim,grief
feel unsafe when travel bus train after what happen,anxiety
can someone please explain why non christian doctor bad thing again,fear
cannot forget bomb attack thankful your media bringing out truth need justice massacre tamils,fear
may attacked ltte,anxiety
extremely lazy cook nervous long recipe complicate sauce anything risky such a souffl,fear
my condolences may their souls rest peace hope my friend his family safe today just spoken wishes each other happy easter,grief
death friend,sadness
condolences victim,grief
thanks those who exports weapons world no 1 positions,anxiety
hmmmmmm wonder what religion peace responsible,anxiety
my condolences all family all affected may god grant all his grace strength peace praying sri lanka ethiopia,grief
awfully sorry did not think would mind much,sadness
my vision every religion speaks truth according which believe,grief
easter very speacial day catholics don t know people hearts these work,grief
i am anxious whenever travel bus train keep think about bad case scenario still feel tense sometimes,anxiety
certain areas world would stay away churches what sick world,grief
christianlivesmatter please people,grief
islam religion terrorism end story,anger
lolthatsbri righther lip look bout crusty a pie edge,sadness
sad killing innocents church,grief
still feel heartbroken think about that heartbreaking day hard move from this pain country real,grief
anxiety bad,anxiety
isaiah 59 1 amen,sadness
pastorrobmayer tell that we have sacrifice more than others tell it time 2 worry about future luke 93,fear
want dream again nightmare will stop have not hd this much nightmare row,fear
this make nervous because news about attack affect daily life avoid celebration avoid place that use normal,anxiety
scourge pan islamist extremism once again rears its ugly head,anger
sad listen innocent people sacred places being attacked condolences pakistan,grief
may god my brothers sisters,grief
allah says quraan 5 32 whosoever kills innocent human being shall he killed all mankind whosoever saves life one shall he saved life all mankind 5 32,sadness
feel tense afraid,anxiety
when knock d send 2 open amp will discover one there,fear
christians killed massive people like past karma,grief
bbc too scared word christian hate just like obama clinton,fear
terrorist no religion rip,grief
play now hard bypo radio show session full hour popstar mainstream hardcore set tune in listen enjoy,fear
quotno sleep today cannot even rest when sun downquot,fear
when come back from work one day friends son tell that come back from school that lose,fear
islam there long ago must history,sadness
people become more more concerned about healthiness their diet way life,fear
if refuse they may feel sadden disappointed inconvenience their selfconcept is not shatter,sadness
my thoughs go victims family horrifying,sadness
must both desperate delighted blow yourself up stupid dumbasses,anger
have idea why this particular region seem lack visibly necessary outer carniola a well feel actually somewhat bother this possible evidence lack suburban spirit,anger
very peaceful religion,anxiety
heart break again when see unforgettable tragedy brings tear eye,grief
islam religion peace,grief
why bbc doesn t visit victims after every terror attack only goes meet family culprits,fear
my deepest condolences effected family friends im really sorry,sadness
i am scar shake,anxiety
still feel little anxious when think all would have before could get bed that night,fear
religion peace,grief
sometimes panic when loud noise do go away check exit more often,anxiety
rescue dog often somewhat nervous people yet may also become excited see when have be out example,fear
tragic news death gary speed welsh footballer,sadness
thank channel4,anxiety
definately funded well planned politicians cannot survive there peace create chaos its external,anxiety
feel deep emptiness think about unforgettable tragedy sadness never go away memory painful,grief
feel deep sorrow remember family who suffer can not forget sorrow their family must still hurt,grief
feel deep sorrow remember story those who pass away loss still feel fresh this grief will stay long time,grief
can not stop feeling sad about unforgettable tragedy loss still feel fresh,grief
oh touts whole world suffering because hates taught islam honest say actually islam face hate world wide,anger
feel deep emptiness think about how many life be shatter grief stay with me still cry sometimes,grief
joesabado seem ridiculous people rarely search via domain amount domain combinationsword variation astronomical,fear
first semester come end,sadness
find yourself block what think spam alot do damn weird thing have semi about,fear
uncle is not even message me miss life kind mess with me,fear
okay thank ill make another reservation as soon a can,fear
j rice song play list repeat repeat sing out feel,fear
certainly being careful sensible how handling tragic situation very responsible sri lankan authorities nz pm also extremely responsible bringing her country together when terror attack took place there wi,fear
first notre dame now what our world turned into,anxiety
just find out next door neighbor lose battle with brain cancer die peacefully sleep,sadness
may god help all these ppl my sincere condolences families all those who passed away,grief
thirtieth minute gary weaving score what look like perfectly good goal only linesman rule out offside everyone s dismay,fear
scary people killin outta amaze intresting fact gary indiana murder capital you probably world,fear
feel deep sorrow remember unforgettable tragedy still hurt deeply,grief
this make nervous because news about attack avoid crowded spot now still feel tense sometimes,anxiety
why would people attack churches sri lanka such beautiful place prayers india,sadness
started downfall sri lankas economy,sadness
m sorry those people happy easter god bkess all,sadness
both them be aware alain s black anger marguerite feeling sorrow leave own house,sadness
condolences families affected philippines,grief
peaceful religion free palastine say,anxiety
heart feel heavy when think that heartbreaking day still hurt deeply this grief will stay long time,grief
leading up something,grief
annoy this particular day a seemad that odds be favour grandfather add fuel fire,anger
pain see anything relate that heartbreaking day feel same pain again pray everyone affect,grief
didn even have time tweet todaii fluckin love tweeting,sadness
a go eat your turkey tomorrow remember muslim terrorist eat turkey too probably more often because they do not eat pork,fear
saw father beat up small child,sadness
drive very fast small road meet oncoming car right hand bend other driver own side road skid out avoid collision dark,fear
ill just have make some local friend can go movie with know fact they will not even without mean because seriously doubt there any actual intention hurt feeling actually call heartless moral brainless just come across that way,anger
hurt every time remember people lose loss still feel fresh their family must still hurt,grief
what hate filled lot cannot human beings,anger
our budhist brother,anger
still feel heartbroken think about tragedy that happen hard move from this,grief
police become increasingly concern their prisoner s health over weekend,fear
find odd how media able find all these clips isis ringleaders yet none public can,anxiety
leaves me feeling lost sad,sadness
face islammmmmic terror,anger
heart feel heavy when think people lose even after many year this grief will stay long time,grief
why say 100 people why can t say 100 christians killed muslim extremists,anxiety
people amp thing people cannot grasp nor understand they because their,fear
why bomb hotels purely religious seems like re getting full story my sri lankan friends very different perspective what happened compared what news outlets saying,anxiety
feel offend that you are offend way oh crap there go offend people again way,anger
feel deep emptiness think about innocent life take feel broken inside,grief
pain see anything related victim attack still hurt deeply,grief
perpetrators should caught publicly beheaded handed over crowd die miserable death,anger
feel frustrate somewhere between season season cc anime find anipike website that there be fanfictions write about cc character,anger
condolences ur beloved pakistan stand u,grief
done remnants terrorist groups recently concluded civil war timing 10th anniversary end civil war sri lanka weapons explosives could easily stashed away before war ended fight another day,anxiety
feel angry disgust,anger
buddhist countries sri lanka,sadness
